subject_id,split
S000001,model_development
S000002,model_development
S000003,independent_holdout
S000004,model_development
S000005,independent_holdout
S000006,model_development
S000007,model_development
S000008,model_development
S000009,model_development
S000010,model_development
S000011,model_development
S000012,model_development
S000013,model_development
S000014,model_development
S000015,model_development
S000016,model_development
S000017,model_development
S000018,independent_holdout
S000019,model_development
S000020,model_development
S000021,model_development
S000022,model_development
S000023,model_development
S000024,model_development
S000025,model_development
S000026,model_development
S000027,model_development
S000028,model_development
S000029,model_development
S000030,model_development
S000031,model_development
S000032,model_development
S000033,independent_holdout
S000034,model_development
S000035,model_development
S000036,model_development
S000037,model_development
S000038,model_development
S000039,independent_holdout
S000040,model_development
S000041,model_development
S000042,model_development
S000044,model_development
S000045,model_development
S000046,model_development
S000048,model_development
S000049,model_development
S000050,model_development
S000051,model_development
S000052,model_development
S000053,independent_holdout
S000054,independent_holdout
S000055,model_development
S000056,model_development
S000057,model_development
S000058,model_development
S000059,model_development
S000061,independent_holdout
S000062,model_development
S000063,model_development
S000064,independent_holdout
S000065,model_development
S000066,model_development
S000067,model_development
S000068,independent_holdout
S000069,model_development
S000070,model_development
S000072,model_development
S000073,model_development
S000075,model_development
S000076,model_development
S000077,independent_holdout
S000078,independent_holdout
S000079,model_development
S000080,independent_holdout
S000081,model_development
S000082,model_development
S000083,model_development
S000084,model_development
S000085,model_development
S000086,independent_holdout
S000087,model_development
S000088,independent_holdout
S000089,model_development
S000090,model_development
S000091,model_development
S000092,model_development
S000093,model_development
S000094,model_development
S000095,model_development
S000096,model_development
S000099,model_development
S000100,model_development
S000101,independent_holdout
S000102,independent_holdout
S000103,model_development
S000104,model_development
S000105,model_development
S000106,model_development
S000107,model_development
S000108,model_development
S000109,model_development
S000110,model_development
S000111,model_development
S000112,independent_holdout
S000113,model_development
S000114,model_development
S000115,model_development
S000116,model_development
S000117,independent_holdout
S000118,model_development
S000119,model_development
S000120,model_development
S000121,model_development
S000122,model_development
S000123,model_development
S000124,model_development
S000125,model_development
S000127,model_development
S000129,independent_holdout
S000130,model_development
S000131,model_development
S000132,model_development
S000133,model_development
S000134,independent_holdout
S000135,model_development
S000136,model_development
S000138,model_development
S000139,model_development
S000141,model_development
S000142,model_development
S000144,independent_holdout
S000145,model_development
S000146,model_development
S000148,independent_holdout
S000149,model_development
S000150,independent_holdout
S000151,model_development
S000152,model_development
S000153,model_development
S000154,model_development
S000155,model_development
S000156,model_development
S000157,model_development
S000158,model_development
S000159,independent_holdout
S000160,model_development
S000161,model_development
S000162,model_development
S000163,model_development
S000164,model_development
S000165,model_development
S000166,model_development
S000167,independent_holdout
S000168,model_development
S000169,independent_holdout
S000170,model_development
S000171,independent_holdout
S000172,model_development
S000173,model_development
S000174,model_development
S000175,model_development
S000177,model_development
S000179,model_development
S000180,model_development
S000181,model_development
S000182,model_development
S000183,model_development
S000184,model_development
S000185,independent_holdout
S000186,model_development
S000187,model_development
S000188,model_development
S000189,independent_holdout
S000190,model_development
S000191,model_development
S000192,model_development
S000193,model_development
S000194,model_development
S000195,model_development
S000196,independent_holdout
S000197,model_development
S000198,model_development
S000199,model_development
S000200,model_development
S000201,independent_holdout
S000202,model_development
S000203,model_development
S000204,model_development
S000205,model_development
S000206,model_development
S000207,model_development
S000209,model_development
S000211,model_development
S000212,model_development
S000213,model_development
S000214,model_development
S000217,model_development
S000219,independent_holdout
S000220,model_development
S000221,model_development
S000222,model_development
S000223,independent_holdout
S000225,model_development
S000226,independent_holdout
S000228,model_development
S000230,model_development
S000231,independent_holdout
S000232,model_development
S000233,independent_holdout
S000234,model_development
S000235,model_development
S000236,independent_holdout
S000237,model_development
S000238,model_development
S000239,independent_holdout
S000240,model_development
S000241,model_development
S000242,independent_holdout
S000243,model_development
S000244,model_development
S000245,model_development
S000246,independent_holdout
S000248,independent_holdout
S000249,independent_holdout
S000250,model_development
S000251,independent_holdout
S000252,independent_holdout
S000253,model_development
S000254,model_development
S000255,model_development
S000257,independent_holdout
S000258,model_development
S000259,independent_holdout
S000260,model_development
S000261,model_development
S000262,model_development
S000263,model_development
S000264,model_development
S000265,model_development
S000266,independent_holdout
S000267,model_development
S000268,model_development
S000269,model_development
S000270,model_development
S000271,model_development
S000272,model_development
S000273,model_development
S000274,model_development
S000275,model_development
S000276,independent_holdout
S000277,model_development
S000278,model_development
S000279,independent_holdout
S000280,independent_holdout
S000281,model_development
S000282,model_development
S000283,model_development
S000284,independent_holdout
S000285,model_development
S000286,independent_holdout
S000287,model_development
S000288,model_development
S000289,independent_holdout
S000290,model_development
S000291,model_development
S000292,independent_holdout
S000293,model_development
S000294,model_development
S000295,model_development
S000296,model_development
S000297,independent_holdout
S000298,independent_holdout
S000299,model_development
S000300,model_development
S000301,model_development
S000302,model_development
S000303,model_development
S000304,independent_holdout
S000305,model_development
S000307,model_development
S000308,model_development
S000309,model_development
S000310,model_development
S000311,model_development
S000312,model_development
S000313,independent_holdout
S000314,model_development
S000315,model_development
S000316,model_development
S000317,model_development
S000318,model_development
S000319,model_development
S000320,model_development
S000321,model_development
S000322,model_development
S000323,model_development
S000324,model_development
S000325,model_development
S000326,model_development
S000327,model_development
S000328,model_development
S000330,model_development
S000333,model_development
S000334,model_development
S000335,model_development
S000338,model_development
S000339,model_development
S000340,model_development
S000341,independent_holdout
S000342,model_development
S000343,model_development
S000345,model_development
S000350,model_development
S000351,model_development
S000352,model_development
S000353,model_development
S000354,model_development
S000355,independent_holdout
S000356,model_development
S000357,model_development
S000358,model_development
S000359,model_development
S000360,model_development
S000361,model_development
S000362,model_development
S000363,model_development
S000364,model_development
S000365,model_development
S000366,model_development
S000367,model_development
S000368,model_development
S000369,independent_holdout
S000370,model_development
S000372,independent_holdout
S000373,independent_holdout
S000374,model_development
S000375,model_development
S000376,model_development
S000377,model_development
S000378,model_development
S000379,model_development
S000380,model_development
S000381,model_development
S000382,independent_holdout
S000383,model_development
S000384,model_development
S000385,model_development
S000386,independent_holdout
S000387,independent_holdout
S000388,model_development
S000389,model_development
S000390,independent_holdout
S000391,independent_holdout
S000392,model_development
S000393,model_development
S000394,model_development
S000396,model_development
S000397,model_development
